id📚|📚url📚|📚title📚|📚lastUpdate📚|📚link📚|📚lastHttpStatus📚|📚dead📚|📚contentType📚|📚itunesId📚|📚originalUrl📚|📚itunesAuthor📚|📚itunesOwnerName📚|📚explicit📚|📚imageUrl📚|📚itunesType📚|📚generator📚|📚newestItemPubdate📚|📚language📚|📚oldestItemPubdate📚|📚episodeCount📚|📚popularityScore📚|📚priority📚|📚createdOn📚|📚updateFrequency📚|📚chash📚|📚host📚|📚newestEnclosureUrl📚|📚podcastGuid📚|📚description📚|📚category1📚|📚category2📚|📚category3📚|📚category4📚|📚category5📚|📚category6📚|📚category7📚|📚category8📚|📚category9📚|📚category10📚|📚newestEnclosureDuration
12📚|📚https://feeds.soundcloud.com/users/soundcloud:users:151205561/sounds.rss📚|📚"One Way Ticket to Nilbog"📚|📚1755301188📚|📚http://onewaytickettonilbog.weebly.com📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000090572📚|📚http://feeds.soundcloud.com/users/soundcloud:users:151205561/sounds.rss📚|📚"One Way Ticket to Nilbog"📚|📚"One Way Ticket to Nilbog"📚|📚1📚|📚https://i1.sndcdn.com/avatars-000147882212-cqio1t-original.jpg📚|📚episodic📚|📚""📚|📚1462160910📚|📚en📚|📚1460909679📚|📚2📚|📚6📚|📚-1📚|📚1596752487📚|📚9📚|📚9393648059ff3edfec369d8b18ee1e09📚|📚soundcloud.com📚|📚http://feeds.soundcloud.com/stream/259531783-onewaytickettonilbog-episode-26-maximum-overdrive.mp3📚|📚76ac165b-665f-5ea4-a212-2083c13ab3e4📚|📚"Join Matt, Renee, and Keith on a free ride through B-tier horror films."📚|📚tv📚|📚film📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚1
13📚|📚https://nocturniarecords.podomatic.com/rss2.xml📚|📚"TECHNO TALES OF NOCTURNIA"📚|📚1733160099📚|📚https://www.podomatic.com/podcasts/nocturniarecords📚|📚200📚|📚0📚|📚"application/xml; charset=utf-8"📚|📚1000093513📚|📚http://nocturniarecords.podomatic.com/rss2.xml📚|📚"NOCTURNIA RECORDS"📚|📚""📚|📚1📚|📚https://assets.podomatic.net/ts/df/bb/ee/nocturniarecords/1400x1400_10707556.jpg📚|📚episodic📚|📚"Podomatic RSS Generator"📚|📚1435834152📚|📚en-us📚|📚1433279144📚|📚4📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚c646f73ce942f8056cee9b108c4af364📚|📚podomatic.com📚|📚https://nocturniarecords.podomatic.com/enclosure/2015-06-02T14_05_44-07_00.mp3?_=1433279179.10655259📚|📚6c5b17d8-1ac8-5e6c-88de-09c079e0f71b📚|📚"NOCTURNIA RECORDS is an independent record label based in Berlin focused on premium dark music.Wait for full moon and new moon nights for new releases, we ve got candy for the black souls of techno. https://soundcloud.com/nocturniarecords"📚|📚music📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚1964
14📚|📚https://feeds.soundcloud.com/users/soundcloud:users:142613909/sounds.rss📚|📚"City Talk w/ Rob Rolison"📚|📚1743157964📚|📚https://soundcloud.com/robrolison📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000095128📚|📚http://feeds.soundcloud.com/users/soundcloud:users:142613909/sounds.rss📚|📚"Rob Rolison"📚|📚"Rob Rolison"📚|📚0📚|📚https://i1.sndcdn.com/avatars-000147884754-rnc1n6-original.jpg📚|📚episodic📚|📚""📚|📚1446055795📚|📚en📚|📚1437491281📚|📚7📚|📚6📚|📚-1📚|📚1596752487📚|📚9📚|📚f9e3901b87f3edf5cbfc122e9e0e401b📚|📚soundcloud.com📚|📚http://feeds.soundcloud.com/stream/215603180-robrolison-citytalk-7-ready-on-day-one.mp3📚|📚3131a4af-176c-5a51-bee3-e9252aa48676📚|📚"A regular look at all that is happening in Our City, the great city of Poughkeepsie."📚|📚news📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚0
15📚|📚https://noextrawords.libsyn.com/rss📚|📚"No Extra Words one person's search for story"📚|📚1733448322📚|📚http://noextrawords.wordpress.com📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000095644📚|📚https://noextrawords.libsyn.com/rss📚|📚"Kris Baker Dersch"📚|📚"Kris Baker Dersch"📚|📚1📚|📚https://static.libsyn.com/p/assets/8/e/7/2/8e723e1b67b06928/No_Extra_Words_logo_season_2.jpg📚|📚episodic📚|📚"Libsyn WebEngine 2.0"📚|📚1595198755📚|📚en📚|📚1432930316📚|📚152📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚47c8e1ac9c417967d26e1b57acfa1ad6📚|📚libsyn.com📚|📚https://traffic.libsyn.com/secure/noextrawords/episode_1.mp3?dest-id=276938📚|📚def1b46e-4d9a-54fc-8a6f-e558ba7464cb📚|📚"A flash fiction podcast featuring short stories less than 2,000 words long."📚|📚arts📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚580
16📚|📚http://feeds.feedburner.com/TheSpysonHour📚|📚"The Tyson Hour"📚|📚1755458039📚|📚https://robhasawebsite.com/📚|📚200📚|📚0📚|📚"text/xml; charset=UTF-8"📚|📚1000101673📚|📚http://feeds.feedburner.com/TheSpysonHour📚|📚"Spencer Pratt & Tyson Apostol make up Spyson"📚|📚"Spencer Pratt & Tyson Apostol make up Spyson"📚|📚0📚|📚https://robhasawebsite.com/wp-content/uploads/powerpress/spyson-rainbo-1400.jpg📚|📚episodic📚|📚https://wordpress.org/?v=6.8.2📚|📚1587536791📚|📚en📚|📚1572378088📚|📚17📚|📚6📚|📚-1📚|📚1596752487📚|📚9📚|📚4086de094cad80f98657b65cb48c38a7📚|📚feedburner.com📚|📚https://media.blubrry.com/rob_has_a_podcast_survivor/podone.noxsolutions.com/launchpod/robhasapodcast/mp3/20191029-newsAF211_mixdown_g6qm.mp3📚|📚b4d73b7f-a618-545c-bfff-7471f665a0b0📚|📚"Spencer Pratt + Tyson Apostol = Spyson.  Each week they talk with Rob Cesternino about the week's most interesting news and what's happening in their lives.  Often there are appearances from Heidi Montag and Rachel Foulger too."📚|📚tv📚|📚film📚|📚reviews📚|📚after-shows📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚1
17📚|📚http://rss.lizhi.fm/rss/1312446.xml📚|📚Lily4ever📚|📚1736951057📚|📚http://www.lizhi.fm📚|📚200📚|📚0📚|📚"text/xml; charset=utf-8"📚|📚1000109413📚|📚http://rss.lizhi.fm/rss/1312446.xml📚|📚Lily4ever📚|📚Lily4ever📚|📚0📚|📚https://cdn.lizhi.fm/podcast_cover/podcast_imgthum_3587493101011179170.jpg📚|📚episodic📚|📚""📚|📚1545609144📚|📚zh-CN📚|📚1423748308📚|📚26📚|📚5📚|📚-1📚|📚1596752487📚|📚9📚|📚0c09af3374089aecaacb91c23bb48683📚|📚lizhi.fm📚|📚https://cdn.lizhi.fm/audio/2015/02/12/17925770310437382_hd.mp3📚|📚2b25ccd3-b325-5095-831d-97dfd6ca393c📚|📚"Que sera sera~~"📚|📚arts📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚118
18📚|📚https://feeds.soundcloud.com/users/soundcloud:users:155565658/sounds.rss📚|📚"Cinematic Idiots"📚|📚1729782416📚|📚http://www.cinematicidiots.org/📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000109452📚|📚http://feeds.soundcloud.com/users/soundcloud:users:155565658/sounds.rss📚|📚"Cinematic Idiots"📚|📚"Cinematic Idiots"📚|📚0📚|📚https://i1.sndcdn.com/avatars-000147891701-m99phw-original.jpg📚|📚episodic📚|📚""📚|📚1441854960📚|📚en📚|📚1436358850📚|📚4📚|📚5📚|📚-1📚|📚1596752487📚|📚9📚|📚ef6e98fb9065101a23f285b235318bf9📚|📚soundcloud.com📚|📚http://feeds.soundcloud.com/stream/213794989-cinematicidiots-03-the-third-man.mp3📚|📚266d9508-80b0-537e-ab76-52ef310f3e3f📚|📚"A bi-weekly podcast about film, pop culture, and books. Getting a little bit smarter, one classic film at a time.Brad and Monica host a classic movie club podcast that invites you to finally catch up on all those films you probably should have seen by now."📚|📚tv📚|📚film📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚0
19📚|📚https://talkingpicturespodcast.podbean.com/feed.xml📚|📚"The Talking Pictures Podcast"📚|📚1749430193📚|📚https://talkingpicturespodcast.podbean.com📚|📚200📚|📚0📚|📚"text/xml; charset=UTF-8"📚|📚1000114875📚|📚https://talkingpicturespodcast.podbean.com/feed.xml📚|📚"Todd Mizener"📚|📚"Todd Mizener"📚|📚0📚|📚https://pbcdn1.podbean.com/imglogo/image-logo/1964383/LogoReduxSQUAREsmall.jpg📚|📚episodic📚|📚https://podbean.com/?v=5.5📚|📚1593924491📚|📚en📚|📚1430874840📚|📚68📚|📚5📚|📚-1📚|📚1596752487📚|📚9📚|📚d97056310316e5b27cf31a4229306a6a📚|📚podbean.com📚|📚https://mcdn.podbean.com/mf/web/zpuvrr/Talking_Pictures_-_Episode_1.mp3📚|📚97088baf-6575-5f91-af74-8765139b81b0📚|📚"Photojournalism on the radio...sort of. The photography centric podcast is hosted by veteran photojournalist Todd Mizener with help from fellow photogs Todd Welvaert and Meg McLaughlin. Our goal is to both entertain and inform with our personal experiences or via interviews with a wide variety of guests. Mizener is the former Director of Photography for the Dispatch/Argus, a mid-sized daily newspaper, located in western Illinois along the banks of the Mississippi River in Moline, Ill.  He is currently the Marketing & Communications Director for the D/A and Quad-City Times. We all get asked questions about our jobs and the podcast lets us answer some of those questions. It also affords us the opportunity to connect with readers, aspiring photographers, and learn a thing or two from our guests. The podcast is also an extension of our historically strong intern teaching program. Please email your questions and/or topic suggestions to talkingpicspodcast@gmail.com and don’t forget to tune e"📚|📚arts📚|📚visual📚|📚news📚|📚society📚|📚culture📚|📚documentary📚|📚""📚|📚""📚|📚""📚|📚""📚|📚2101
20📚|📚https://hillaryandjason.podomatic.com/rss2.xml📚|📚"Buy Us A Shot, We're Tying The Knot"📚|📚1756978642📚|📚https://www.podomatic.com/podcasts/hillaryandjason📚|📚200📚|📚0📚|📚"application/xml; charset=utf-8"📚|📚1000116265📚|📚http://hillaryandjason.podomatic.com/rss2.xml📚|📚"Hillary And Jason"📚|📚"Hillary And Jason"📚|📚0📚|📚https://assets.podomatic.net/ts/ba/c4/36/hillandjay/1400x1400_10639714.jpg📚|📚episodic📚|📚"Podomatic RSS Generator"📚|📚1440130066📚|📚en-us📚|📚1432870696📚|📚4📚|📚9📚|📚-1📚|📚1596752487📚|📚9📚|📚9442d7e1e7ae84ab72a510377e136a01📚|📚podomatic.com📚|📚https://hillaryandjason.podomatic.com/enclosure/2015-05-28T20_38_16-07_00.mp3?_=1432870701.10643551📚|📚a1b232de-225f-510c-937a-76f1ff288cdc📚|📚"Hear the origins of our relationship, listen as we explore our family trees, and get the dirt from our closest friends as we travel down memory lane."📚|📚society📚|📚culture📚|📚personal📚|📚journals📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚179
21📚|📚https://feeds.soundcloud.com/users/soundcloud:users:154694102/sounds.rss📚|📚PeloTonOfFun📚|📚1748250186📚|📚https://soundcloud.com/pelotonoffun📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000116270📚|📚http://feeds.soundcloud.com/users/soundcloud:users:154694102/sounds.rss📚|📚"PeloTonOfFun Podcast"📚|📚"PeloTonOfFun Podcast"📚|📚0📚|📚https://i1.sndcdn.com/avatars-QqioNeckiayuqGvx-mn0yow-original.jpg📚|📚episodic📚|📚""📚|📚1602983344📚|📚en📚|📚1598656313📚|📚3📚|📚5📚|📚-1📚|📚1596752487📚|📚9📚|📚2f98888ff889fc8b6d46c625d27a1a0f📚|📚soundcloud.com📚|📚https://feeds.soundcloud.com/stream/883805503-pelotonoffun-pelotonoffun-ep84-tour-de-france-preview-2020-2020828.mp3📚|📚200b6f77-7396-546f-8fd3-7141fbbbbd84📚|📚"A pro cycling podcast by American husband and wife super fans Ryland & Emily Lu Aldrich."📚|📚sports📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚3409
22📚|📚https://anchor.fm/s/2e03f13c/podcast/rss📚|📚"Let's Watch Podcast"📚|📚1757055624📚|📚anchor.fm/lets-watch-podcast📚|📚200📚|📚0📚|📚"application/rss+xml; charset=utf-8"📚|📚1000116496📚|📚https://anchor.fm/s/2e03f13c/podcast/rss📚|📚"Let's Watch"📚|📚"Let's Watch"📚|📚1📚|📚https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/7620103/1e920a1ff9bd8f88.jpeg📚|📚episodic📚|📚"Anchor Podcasts"📚|📚1685633470📚|📚en📚|📚1432857600📚|📚133📚|📚4📚|📚-1📚|📚1596752487📚|📚9📚|📚bfc12ac998dc0739765c99fbb6b9c12e📚|📚anchor.fm📚|📚https://anchor.fm/s/2e03f13c/podcast/play/71424216/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-5-1%2F03ebb966-53fb-06a7-4bc0-6629d141dea7.mp3📚|📚2897322f-acd0-553b-829b-961e9f52b5cc📚|📚"Carolyn and James work through The 1999 movie bracket. 64 movies enter. 1 will be picked as the best.With the occasional mini pod about movies we feel like talking about."📚|📚tv📚|📚film📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚1675
23📚|📚https://www.corechurchtampa.com/messages?format=rss📚|📚"Core Church Tampa"📚|📚1756052472📚|📚https://www.corechurchtampa.com/messages/📚|📚200📚|📚0📚|📚"application/rss+xml; charset=UTF-8"📚|📚0📚|📚http://corechurchtampa.com/corechurchtampa.rss📚|📚"Core Church Tampa"📚|📚""📚|📚0📚|📚https://images.squarespace-cdn.com/content/v1/5eebe40248bdfa5a1a201066/1598124776917-NZERJH9NQ7ZU03OVQJ3W/CoreChurch+Logo.jpg?format=1500w📚|📚episodic📚|📚"Site-Server v@build.version@ (http://www.squarespace.com)"📚|📚1731886800📚|📚en📚|📚1596414780📚|📚153📚|📚4📚|📚-1📚|📚1596752487📚|📚8📚|📚630ff6af140a8d26efd86a4cba92de86📚|📚corechurchtampa.com📚|📚https://static1.squarespace.com/static/5eebe40248bdfa5a1a201066/t/673a7df47ffecf2427db94ff/1731886652603/Dirty+Mercy+AUDIO.mp3📚|📚b8225f3d-5e5a-54c4-b3c7-9d812d3923ef📚|📚"<p>Core Church weekly podcast recorded live Sunday mornings at Core Church in Tampa, FL.</p>"📚|📚religion📚|📚spirituality📚|📚christianity📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚""📚|📚2001
